base_index	leaf_ordinal	partition_rank	status	partition	objective	source_clauses	weights	support	denominator	W	U	block_maxima	detail
4	78	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	79	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	80	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	81	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	82	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	90	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	91	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	0.99999999999999289			0	0	0	0		no exact deficit at frozen partition rank
4	92	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1.0000000000000018			0	0	0	0		no exact deficit at frozen partition rank
4	93	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	101	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	102	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	103	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	111	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1.0000000000000362			0	0	0	0		no exact deficit at frozen partition rank
4	112	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	120	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1.000000000000042			0	0	0	0		no exact deficit at frozen partition rank
4	936	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	937	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	938	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	0.99999999999999289			0	0	0	0		no exact deficit at frozen partition rank
4	939	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1.0000000000000018			0	0	0	0		no exact deficit at frozen partition rank
4	940	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	948	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	949	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	950	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	951	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	952	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	959	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	960	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	961	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	969	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1.0000000000000362			0	0	0	0		no exact deficit at frozen partition rank
4	970	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
4	978	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1.000000000000042			0	0	0	0		no exact deficit at frozen partition rank
3	78	0	UNRESOLVED	0-1-2-3,4-5-6,7-8-9,10-11-12	1			0	0	0	0		no exact deficit at frozen partition rank
